episode,t,phase_before,role_before,obs-context,action,reward,captured,terminated,truncated,phase_after,next-context,V_t,V_next,MC return,GAE return,GAE 256 return
0,0,pre_capture,"[""capture"",""capture"",""capture"",""support""]","[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[249.39535522460938,249.39535522460938,249.39535522460938,-160.0]",True,"[true,true,true,true]","[false,false,false,false]",post_capture,"[0.0,1.0,0.0,0.999666690826416,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[95.18949890136719,102.40860748291016,103.22588348388672,79.10369873046875]","[-8.035394668579102,-5.837766647338867,-1.3262138366699219,17.02892303466797]","[249.39535522460938,249.39535522460938,249.39535522460938,-160.0]","[249.39535522460938,249.39535522460938,249.39535522460938,-160.0]","[249.39535522460938,249.39535522460938,249.39535522460938,-160.0]"
1,0,pure_coverage,"[""coverage"",""coverage"",""coverage"",""inactive""]","[0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6,8,6,4]","[-0.003464167006313801,0.0009940693853423,-0.0019151897868141532,0.0]",False,"[true,true,true,true]","[false,false,false,false]",pure_coverage,"[0.0,0.0,1.0,0.999666690826416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.6619033813476562,-6.535749435424805,-1.2228965759277344,17.02892303466797]","[2.3160781860351562,-6.671716690063477,-0.2412586212158203,17.02892303466797]","[-0.003464167006313801,0.0009940693853423,-0.0019151897868141532,0.0]","[-0.0034641623497009277,0.0009942054748535156,-0.0019152164459228516,0.0]","[-0.0034641623497009277,0.0009942054748535156,-0.0019152164459228516,0.0]"
2,0,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3,8,7,7]","[-0.08937147259712219,-0.21263636648654938,-0.006071171723306179,0.08815145492553711]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.999666690826416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[37.5571174621582,42.487083435058594,35.49603271484375,109.98397827148438]","[35.507118225097656,41.19574737548828,32.901851654052734,114.30001831054688]",null,"[38.322509765625,59.19621276855469,70.73308563232422,123.74649047851562]","[38.322509765625,59.19621276855469,70.73308563232422,123.74649047851562]"
2,1,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.999666690826416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6,8,7,8]","[-0.09092496335506439,-0.22677168250083923,-0.008865049108862877,0.27007806301116943]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9993333220481873,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[35.507118225097656,41.19574737548828,32.901851654052734,114.30001831054688]","[35.40764617919922,41.615211486816406,31.849971771240234,119.15496826171875]",null,"[38.973182678222656,60.999107360839844,73.48274230957031,125.4656982421875]","[38.973182678222656,60.999107360839844,73.48274230957031,125.4656982421875]"
2,2,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9993333220481873,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3,8,7,7]","[-0.0917014330625534,-0.22447329759597778,-0.015368440188467503,0.4527103304862976]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9990000128746033,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[35.40764617919922,41.615211486816406,31.849971771240234,119.15496826171875]","[33.80526351928711,41.55821228027344,31.211116790771484,122.14745330810547]",null,"[39.671905517578125,62.90901184082031,76.46467590332031,126.8447036743164]","[39.671905517578125,62.90901184082031,76.46467590332031,126.8447036743164]"
2,3,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9990000128746033,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6,8,6,6]","[-0.09132930636405945,-0.20826534926891327,-0.01178971491754055,0.6025880575180054]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9986666440963745,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[33.80526351928711,41.55821228027344,31.211116790771484,122.14745330810547]","[31.62023162841797,40.94847106933594,30.611522674560547,122.39620208740234]",null,"[40.49999237060547,64.94029998779297,79.67581176757812,127.95926666259766]","[40.49999237060547,64.94029998779297,79.67581176757812,127.95926666259766]"
2,4,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9986666440963745,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3,8,7,6]","[-0.0953507348895073,-0.18053923547267914,0.009958486072719097,0.6705280542373657]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9983333349227905,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[31.62023162841797,40.94847106933594,30.611522674560547,122.39620208740234]","[31.063060760498047,40.820926666259766,31.10574722290039,122.99527740478516]",null,"[41.495079040527344,67.11495971679688,83.11782836914062,128.97189331054688]","[41.495079040527344,67.11495971679688,83.11782836914062,128.97189331054688]"
2,5,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9983333349227905,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6,8,7,7]","[-0.1001991257071495,-0.14450785517692566,0.04540497437119484,0.7085188031196594]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9980000257492065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[31.063060760498047,40.820926666259766,31.10574722290039,122.99527740478516]","[30.88100814819336,40.63981246948242,32.48008728027344,124.18343353271484]",null,"[42.58671569824219,69.4044189453125,86.72848510742188,129.94482421875]","[42.58671569824219,69.4044189453125,86.72848510742188,129.94482421875]"
2,6,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9980000257492065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6,7,8,8]","[-0.10264930129051208,-0.07466277480125427,0.10546034574508667,0.8780988454818726]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9976666569709778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[30.88100814819336,40.63981246948242,32.48008728027344,124.18343353271484]","[31.68950653076172,43.168434143066406,35.59144973754883,127.05876159667969]",null,"[43.76215362548828,71.80995178222656,90.45753479003906,130.87637329101562]","[43.76215362548828,71.80995178222656,90.45753479003906,130.87637329101562]"
2,7,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9976666569709778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6,8,7,7]","[-0.10255980491638184,-0.006156824063509703,0.18010321259498596,1.0850573778152466]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9973333477973938,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[31.68950653076172,43.168434143066406,35.59144973754883,127.05876159667969]","[32.590003967285156,44.124366760253906,38.90581512451172,128.7553253173828]",null,"[44.97200393676758,74.16030883789062,94.19490051269531,131.5352020263672]","[44.97200393676758,74.16030883789062,94.19490051269531,131.5352020263672]"
