episode,t,phase_before,role_before,obs-context,action,reward,captured,terminated,truncated,phase_after,next-context,V_t,V_next,MC return,GAE return,GAE 256 return
1,2999,pure_coverage,"[""coverage"",""coverage"",""coverage"",""coverage""]","[0.0,0.0,1.0,0.00033333332976326346,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.6405743360519409,-2.710427761077881,-0.9399220943450928,-0.7130964398384094]",False,"[false,false,false,false]","[true,true,true,true]",pure_coverage,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-5.1279296875,-10.434755325317383,-8.280500411987305,-7.633949279785156]","[-5.1279296875,-10.434755325317383,-8.280500411987305,-7.633949279785156]",null,"[-5.717225074768066,-13.040836334228516,-9.137618064880371,-8.270706176757812]","[-5.717225074768066,-13.040836334228516,-9.137618064880371,-8.270706176757812]"
2,0,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.22356773912906647,-0.026713399216532707,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.999666690826416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[37.5571174621582,42.487083435058594,35.49603271484375,109.98397827148438]","[35.63873291015625,40.35219192504883,33.66552734375,108.5301513671875]",null,"[31.95737075805664,35.68036651611328,31.416641235351562,94.77789306640625]","[31.95737075805664,35.68036651611328,31.416641235351562,94.77789306640625]"
2,1,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.999666690826416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.2717013657093048,-0.07385226339101791,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9993333220481873,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[35.63873291015625,40.35219192504883,33.66552734375,108.5301513671875]","[34.21194839477539,38.76471710205078,32.33351135253906,107.0665512084961]",null,"[32.19843292236328,36.05156707763672,31.660722732543945,95.06183624267578]","[32.19843292236328,36.05156707763672,31.660722732543945,95.06183624267578]"
2,2,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9993333220481873,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.3143313527107239,-0.12178289145231247,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9990000128746033,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[34.21194839477539,38.76471710205078,32.33351135253906,107.0665512084961]","[33.00567626953125,37.48318862915039,31.171663284301758,105.68875885009766]",null,"[32.52983474731445,36.58098602294922,32.04047393798828,95.44076538085938]","[32.52983474731445,36.58098602294922,32.04047393798828,95.44076538085938]"
2,3,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9990000128746033,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.3428534269332886,-0.16105137765407562,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9986666440963745,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[33.00567626953125,37.48318862915039,31.171663284301758,105.68875885009766]","[32.24250030517578,36.811668395996094,30.4208984375,104.70770263671875]",null,"[32.9456901550293,37.25667190551758,32.55636215209961,95.91618347167969]","[32.9456901550293,37.25667190551758,32.55636215209961,95.91618347167969]"
2,4,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9986666440963745,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.35085979104042053,-0.1838461309671402,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9983333349227905,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[32.24250030517578,36.811668395996094,30.4208984375,104.70770263671875]","[32.0008544921875,36.7132568359375,30.136428833007812,104.19329071044922]",null,"[33.42802429199219,38.040771484375,33.186153411865234,96.47330474853516]","[33.42802429199219,38.040771484375,33.186153411865234,96.47330474853516]"
2,5,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9983333349227905,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.33473193645477295,-0.1848881095647812,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9980000257492065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[32.0008544921875,36.7132568359375,30.136428833007812,104.19329071044922]","[31.835254669189453,36.61796569824219,29.926815032958984,103.76736450195312]",null,"[33.953590393066406,38.8881721496582,33.89500045776367,97.09275817871094]","[33.953590393066406,38.8881721496582,33.89500045776367,97.09275817871094]"
2,6,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9980000257492065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.2871931791305542,-0.1498553305864334,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9976666569709778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[31.835254669189453,36.61796569824219,29.926815032958984,103.76736450195312]","[31.98940658569336,36.87853240966797,30.026077270507812,103.45834350585938]",null,"[34.521121978759766,39.77705001831055,34.660831451416016,97.77381134033203]","[34.521121978759766,39.77705001831055,34.660831451416016,97.77381134033203]"
2,7,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9976666569709778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.22547611594200134,-0.0974191278219223,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9973333477973938,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[31.98940658569336,36.87853240966797,30.026077270507812,103.45834350585938]","[32.515899658203125,37.53935623168945,30.527360916137695,103.75576782226562]",null,"[35.1164436340332,40.657901763916016,35.43263626098633,98.51422119140625]","[35.1164436340332,40.657901763916016,35.43263626098633,98.51422119140625]"
2,8,pre_capture,"[""coverage"",""support"",""support"",""capture""]","[1.0,0.0,0.0,0.9973333477973938,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4,4,4,4]","[-0.08937147259712219,-0.1596486121416092,-0.03846856579184532,0.0]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.996999979019165,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[32.515899658203125,37.53935623168945,30.527360916137695,103.75576782226562]","[33.24188995361328,38.33458709716797,31.217737197875977,104.4307861328125]",null,"[35.721717834472656,41.494075775146484,36.17113494873047,99.28582000732422]","[35.721717834472656,41.494075775146484,36.17113494873047,99.28582000732422]"
