episode,t,phase_before,role_before,obs-context,action,reward,captured,terminated,truncated,phase_after,next-context,V_t,V_next,MC return,GAE return,GAE 256 return
0,0,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8,8,8,6]","[-0.00791007000952959,-0.26072466373443604,0.08819597214460373,-0.054290737956762314]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.999666690826416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[37.593814849853516,34.84382247924805,109.96292114257812,38.15264892578125]","[36.98224639892578,33.628597259521484,114.70805358886719,36.46514129638672]","[127.5848155778115,-6.218509455359036,121.13778779028688,106.97525120450075]","[91.97460174560547,33.05973815917969,120.15924835205078,54.440704345703125]","[91.97460174560547,33.05973815917969,120.15924835205078,54.440704345703125]"
0,1,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.999666690826416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8,8,6,6]","[0.0784062072634697,-0.25818100571632385,0.27604439854621887,-0.014740193262696266]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9993333220481873,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[36.98224639892578,33.628597259521484,114.70805358886719,36.46514129638672]","[39.20683288574219,34.582672119140625,119.15978240966797,37.367393493652344]","[128.88154105840508,-6.017964435984444,122.27231496782048,108.11064842672477]","[95.85528564453125,33.65852355957031,121.6299819946289,56.02335739135742]","[95.85528564453125,33.65852355957031,121.6299819946289,56.02335739135742]"
0,2,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.9993333220481873,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8,8,7,6]","[0.17432774603366852,-0.2888716161251068,0.44434791803359985,0.009772120974957943]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9990000128746033,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[39.20683288574219,34.582672119140625,119.15978240966797,37.367393493652344]","[41.364227294921875,36.696014404296875,123.10148620605469,38.60658264160156]","[130.10417661731475,-5.817963060876889,123.22855613058006,109.21756426261359]","[99.77259826660156,34.242279052734375,122.75973510742188,57.61659622192383]","[99.77259826660156,34.242279052734375,122.75973510742188,57.61659622192383]"
0,3,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.9990000128746033,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8,8,6,8]","[0.27291181683540344,-0.3328402638435364,0.6136413812637329,0.037270788103342056]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9986666440963745,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[41.364227294921875,36.696014404296875,123.10148620605469,38.60658264160156]","[44.76080322265625,39.500038146972656,127.63298797607422,40.42547607421875]","[131.2422715871526,-5.584940853284628,124.02445273994591,110.31090115317033]","[103.72221374511719,34.784366607666016,123.57453918457031,59.2193489074707]","[103.72221374511719,34.784366607666016,123.57453918457031,59.2193489074707]"
0,4,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.9986666440963745,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8,6,8,6]","[0.3624163568019867,-0.3435631990432739,0.7663333415985107,0.059925977140665054]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9983333349227905,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[44.76080322265625,39.500038146972656,127.63298797607422,40.42547607421875]","[47.162208557128906,39.498565673828125,127.62821960449219,41.351219177246094]","[132.29228259628,-5.305152110546557,124.65738521079008,111.38750541925958]","[107.63811492919922,35.259918212890625,124.02239990234375,60.79853057861328]","[107.63811492919922,35.259918212890625,124.02239990234375,60.79853057861328]"
0,5,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.9983333349227905,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8,8,6,8]","[0.4370376765727997,-0.3568795919418335,0.9040864109992981,0.0781291276216507]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9980000257492065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[47.162208557128906,39.498565673828125,127.62821960449219,41.351219177246094]","[50.73545455932617,43.35747528076172,129.90838623046875,44.73155975341797]","[133.26249115098787,-5.011705971215438,125.14247663554704,112.45210044658477]","[111.58019256591797,35.77703857421875,124.33648681640625,62.404808044433594]","[111.58019256591797,35.77703857421875,124.33648681640625,62.404808044433594]"
0,6,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.9980000257492065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[7,2,7,7]","[0.48028188943862915,-0.41706714034080505,1.050024151802063,0.11816927790641785]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9976666569709778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[50.73545455932617,43.35747528076172,129.90838623046875,44.73155975341797]","[54.085567474365234,43.378379821777344,130.93511962890625,48.048946380615234]","[134.16712472163138,-4.701844827549095,125.49332345913913,113.50906193834658]","[115.50425720214844,36.1379280090332,124.40397644042969,63.91543197631836]","[115.50425720214844,36.1379280090332,124.40397644042969,63.91543197631836]"
0,7,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.9976666569709778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6,3,7,6]","[0.5305081009864807,-0.46036142110824585,1.1727606058120728,0.08739839494228363]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.9973333477973938,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[54.085567474365234,43.378379821777344,130.93511962890625,48.048946380615234]","[57.367698669433594,41.10155487060547,129.56600952148438,50.800445556640625]","[135.03721498201287,-4.328058269907364,125.70030233064351,114.53625521256582]","[119.45426940917969,36.58454895019531,124.26654052734375,65.30445861816406]","[119.45426940917969,36.58454895019531,124.26654052734375,65.30445861816406]"
0,8,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.9973333477973938,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[7,6,7,8]","[0.5669228434562683,-0.4542055130004883,1.2661479711532593,0.04430696368217468]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.996999979019165,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[57.367698669433594,41.10155487060547,129.56600952148438,50.800445556640625]","[61.412376403808594,41.559165954589844,129.78146362304688,54.4852294921875]","[135.86536048588525,-3.9067644937364836,125.78539568164791,115.6049058763874]","[123.42801666259766,37.22528839111328,124.06194305419922,66.66925048828125]","[123.42801666259766,37.22528839111328,124.06194305419922,66.66925048828125]"
0,9,pre_capture,"[""support"",""support"",""capture"",""support""]","[1.0,0.0,0.0,0.996999979019165,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8,8,6,8]","[0.5283313989639282,-0.46893203258514404,1.383695363998413,0.05576816946268082]",False,"[false,false,false,false]","[false,false,false,false]",pre_capture,"[1.0,0.0,0.0,0.996666669845581,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[61.412376403808594,41.559165954589844,129.78146362304688,54.4852294921875]","[65.62666320800781,45.206993103027344,132.2861328125,59.36458969116211]","[136.66508852770605,-3.487433313874743,125.77701788938855,116.72787768960124]","[127.40157318115234,37.87593078613281,123.7337646484375,67.97227478027344]","[127.40157318115234,37.87593078613281,123.7337646484375,67.97227478027344]"
